DATE,IRLTLT01GRM156N
2013-12-01,8.66
2014-01-01,8.18
2014-02-01,7.7
2014-03-01,6.9
2014-04-01,6.2
2014-05-01,6.38
2014-06-01,5.93
2014-07-01,6.1
2014-08-01,6.09
2014-09-01,5.89
2014-10-01,7.26
2014-11-01,8.1
2014-12-01,8.42
2015-01-01,9.48
2015-02-01,9.72
2015-03-01,10.52
2015-04-01,12.01
2015-05-01,10.95
2015-06-01,11.43
2015-07-01,.
2015-08-01,10.26
2015-09-01,8.54
2015-10-01,7.81
2015-11-01,7.41
2015-12-01,8.21
2016-01-01,9.08
2016-02-01,10.41
2016-03-01,9.12
2016-04-01,9.03
2016-05-01,7.64
2016-06-01,7.92
2016-07-01,7.99
2016-08-01,8.19
2016-09-01,8.34
2016-10-01,8.33
2016-11-01,7.33
2016-12-01,6.94
2017-01-01,7.04
2017-02-01,7.52
2017-03-01,7.17
2017-04-01,6.7
2017-05-01,5.86
2017-06-01,5.76
2017-07-01,5.33
2017-08-01,5.55
2017-09-01,5.56
2017-10-01,5.59
2017-11-01,5.22
2017-12-01,4.44
2018-01-01,3.79
2018-02-01,4.14
2018-03-01,4.27
2018-04-01,4.04
2018-05-01,4.29
2018-06-01,4.39
2018-07-01,3.88
2018-08-01,4.18
2018-09-01,4.17
2018-10-01,4.37
2018-11-01,4.42
2018-12-01,4.28
2019-01-01,4.21
2019-02-01,3.84
2019-03-01,3.76
2019-04-01,3.42
2019-05-01,3.37
2019-06-01,2.67
2019-07-01,2.16
2019-08-01,1.98
2019-09-01,1.5
2019-10-01,1.34
2019-11-01,1.36
2019-12-01,1.42
2020-01-01,1.34
2020-02-01,1.07
2020-03-01,1.97
2020-04-01,2.05
2020-05-01,1.93
2020-06-01,1.32
2020-07-01,1.14
2020-08-01,1.08
2020-09-01,1.08
2020-10-01,0.9
2020-11-01,0.75
2020-12-01,0.63
2021-01-01,0.65
2021-02-01,0.81
2021-03-01,0.91
2021-04-01,0.89
2021-05-01,0.99
2021-06-01,0.81
2021-07-01,0.7
2021-08-01,0.59
2021-09-01,0.8
2021-10-01,0.96
2021-11-01,1.22
2021-12-01,1.29
2022-01-01,1.62
2022-02-01,2.46
2022-03-01,2.61
2022-04-01,2.89
2022-05-01,3.54
2022-06-01,3.93
2022-07-01,3.38
2022-08-01,3.46
2022-09-01,4.44
2022-10-01,4.87
2022-11-01,4.42
2022-12-01,4.22
2023-01-01,4.29
2023-02-01,4.26
2023-03-01,4.29
2023-04-01,4.23
2023-05-01,3.98
2023-06-01,3.7
2023-07-01,3.85
2023-08-01,3.88
2023-09-01,4.08
2023-10-01,4.3
2023-11-01,3.88
2023-12-01,3.28
2024-01-01,3.29
2024-02-01,3.45
2024-03-01,3.38
2024-04-01,3.49
