DATE,PCE
12/1/2013,10405787513
1/1/2014,8519040421
2/1/2014,
3/1/2014,
4/1/2014,9443210920
5/1/2014,
6/1/2014,
7/1/2014,8318262291
8/1/2014,
9/1/2014,
10/1/2014,8318262291
11/1/2014,
12/1/2014,
1/1/2015,8318262291
2/1/2015,
3/1/2015,
4/1/2015,8947149862
5/1/2015,
6/1/2015,
7/1/2015,8865046815
8/1/2015,
9/1/2015,
10/1/2015,10116915799
11/1/2015,
12/1/2015,
1/1/2016,8089802908.999999
2/1/2016,
3/1/2016,
4/1/2016,8840874958
5/1/2016,
6/1/2016,
7/1/2016,9018223387
8/1/2016,
9/1/2016,
10/1/2016,10018931237
11/1/2016,
12/1/2016,
1/1/2017,8157579473
2/1/2017,
3/1/2017,
4/1/2017,8901608332
5/1/2017,
6/1/2017,
7/1/2017,8906389639
8/1/2017,
9/1/2017,
10/1/2017,10287763885
11/1/2017,
12/1/2017,
1/1/2018,8444746190
2/1/2018,
3/1/2018,
4/1/2018,8546223747.999999
5/1/2018,
6/1/2018,
7/1/2018,8758806041
8/1/2018,
9/1/2018,
10/1/2018,9758739333
11/1/2018,
12/1/2018,
1/1/2019,8461633310
2/1/2019,
3/1/2019,
4/1/2019,9595974926
5/1/2019,
6/1/2019,
7/1/2019,8848344549
8/1/2019,
9/1/2019,
10/1/2019,10091625425
11/1/2019,
12/1/2019,
1/1/2020,8802125563
2/1/2020,
3/1/2020,
4/1/2020,9386297127
5/1/2020,
6/1/2020,
7/1/2020,9190191158
8/1/2020,
9/1/2020,
10/1/2020,10698920140
11/1/2020,
12/1/2020,
1/1/2021,8894664599
2/1/2021,
3/1/2021,
4/1/2021,9790790716
5/1/2021,
6/1/2021,
7/1/2021,9776485361
8/1/2021,
9/1/2021,
10/1/2021,11216867100
11/1/2021,
12/1/2021,
1/1/2022,9491903169
2/1/2022,
3/1/2022,
4/1/2022,10591546909
5/1/2022,
6/1/2022,
7/1/2022,10086024729
8/1/2022,
9/1/2022,
10/1/2022,11371613047
11/1/2022,
12/1/2022,
1/1/2023,10135949949
2/1/2023,
3/1/2023,
4/1/2023,11063332976
5/1/2023,
6/1/2023,
7/1/2023,10144430224
8/1/2023,
9/1/2023,
10/1/2023,
11/1/2023,
12/1/2023,
1/1/2024,
2/1/2024,
3/1/2024,
4/1/2024,
