DATE,Unemp
12/1/2013,27.7
1/1/2014,27.2
2/1/2014,27.5
3/1/2014,27
4/1/2014,27.1
5/1/2014,27.3
6/1/2014,26.7
7/1/2014,26.3
8/1/2014,26.5
9/1/2014,26.3
10/1/2014,26.1
11/1/2014,25.7
12/1/2014,26
1/1/2015,25.6
2/1/2015,25.6
3/1/2015,26.2
4/1/2015,25.3
5/1/2015,24.7
6/1/2015,25.2
7/1/2015,25
8/1/2015,24.2
9/1/2015,24.9
10/1/2015,24.8
11/1/2015,24.2
12/1/2015,23.9
1/1/2016,24.8
2/1/2016,23.9
3/1/2016,24.1
4/1/2016,24.1
5/1/2016,23.9
6/1/2016,23.8
7/1/2016,23.9
8/1/2016,24
9/1/2016,23.6
10/1/2016,23.5
11/1/2016,23.6
12/1/2016,23.6
1/1/2017,23.2
2/1/2017,23
3/1/2017,22.5
4/1/2017,22
5/1/2017,22.3
6/1/2017,21.6
7/1/2017,21.3
8/1/2017,21.3
9/1/2017,21.3
10/1/2017,21.2
11/1/2017,21.4
12/1/2017,21.1
1/1/2018,20.7
2/1/2018,21
3/1/2018,20.6
4/1/2018,20
5/1/2018,19.7
6/1/2018,19.6
7/1/2018,19.4
8/1/2018,19.5
9/1/2018,19.3
10/1/2018,19.1
11/1/2018,19.3
12/1/2018,18.9
1/1/2019,19.4
2/1/2019,19.2
3/1/2019,18.6
4/1/2019,18.1
5/1/2019,17.5
6/1/2019,17.4
7/1/2019,17.8
8/1/2019,17.4
9/1/2019,17.5
10/1/2019,17.3
11/1/2019,17
12/1/2019,17
1/1/2020,16.7
2/1/2020,16.2
3/1/2020,17.2
4/1/2020,17.9
5/1/2020,19.4
6/1/2020,20.3
7/1/2020,17.4
8/1/2020,17
9/1/2020,17.1
10/1/2020,17.6
11/1/2020,17.6
12/1/2020,16.8
1/1/2021,16.4
2/1/2021,16.1
3/1/2021,17
4/1/2021,16.9
5/1/2021,15.5
6/1/2021,15
7/1/2021,14
8/1/2021,13.9
9/1/2021,13.4
10/1/2021,13.4
11/1/2021,13.3
12/1/2021,13
1/1/2022,13.6
2/1/2022,13
3/1/2022,12.7
4/1/2022,12.5
5/1/2022,12.5
6/1/2022,12.2
7/1/2022,12.5
8/1/2022,12.2
9/1/2022,12.1
10/1/2022,12.1
11/1/2022,11.6
12/1/2022,11.9
1/1/2023,11.3
2/1/2023,11.2
3/1/2023,11.4
4/1/2023,11.6
5/1/2023,11.1
6/1/2023,11.2
7/1/2023,11
8/1/2023,11
9/1/2023,10.6
10/1/2023,10.6
11/1/2023,10.7
12/1/2023,10.4
1/1/2024,10.5
2/1/2024,10.8
3/1/2024,10.2
4/1/2024,10.2
