DATE,Net_migration
12/1/2013,-3.004
1/1/2014,-2.707
2/1/2014,-2.707
3/1/2014,-2.707
4/1/2014,-2.707
5/1/2014,-2.707
6/1/2014,-2.707
7/1/2014,-2.707
8/1/2014,-2.707
9/1/2014,-2.707
10/1/2014,-2.707
11/1/2014,-2.707
12/1/2014,-2.707
1/1/2015,-2.41
2/1/2015,-2.41
3/1/2015,-2.41
4/1/2015,-2.41
5/1/2015,-2.41
6/1/2015,-2.41
7/1/2015,-2.41
8/1/2015,-2.41
9/1/2015,-2.41
10/1/2015,-2.41
11/1/2015,-2.41
12/1/2015,-2.41
1/1/2016,-2.112
2/1/2016,-2.112
3/1/2016,-2.112
4/1/2016,-2.112
5/1/2016,-2.112
6/1/2016,-2.112
7/1/2016,-2.112
8/1/2016,-2.112
9/1/2016,-2.112
10/1/2016,-2.112
11/1/2016,-2.112
12/1/2016,-2.112
1/1/2017,-1.854
2/1/2017,-1.854
3/1/2017,-1.854
4/1/2017,-1.854
5/1/2017,-1.854
6/1/2017,-1.854
7/1/2017,-1.854
8/1/2017,-1.854
9/1/2017,-1.854
10/1/2017,-1.854
11/1/2017,-1.854
12/1/2017,-1.854
1/1/2018,-1.518
2/1/2018,-1.518
3/1/2018,-1.518
4/1/2018,-1.518
5/1/2018,-1.518
6/1/2018,-1.518
7/1/2018,-1.518
8/1/2018,-1.518
9/1/2018,-1.518
10/1/2018,-1.518
11/1/2018,-1.518
12/1/2018,-1.518
1/1/2019,-1.37
2/1/2019,-1.37
3/1/2019,-1.37
4/1/2019,-1.37
5/1/2019,-1.37
6/1/2019,-1.37
7/1/2019,-1.37
8/1/2019,-1.37
9/1/2019,-1.37
10/1/2019,-1.37
11/1/2019,-1.37
12/1/2019,-1.37
1/1/2020,-1.222
2/1/2020,-1.222
3/1/2020,-1.222
4/1/2020,-1.222
5/1/2020,-1.222
6/1/2020,-1.222
7/1/2020,-1.222
8/1/2020,-1.222
9/1/2020,-1.222
10/1/2020,-1.222
11/1/2020,-1.222
12/1/2020,-1.222
1/1/2021,-1.074
2/1/2021,-1.074
3/1/2021,-1.074
4/1/2021,-1.074
5/1/2021,-1.074
6/1/2021,-1.074
7/1/2021,-1.074
8/1/2021,-1.074
9/1/2021,-1.074
10/1/2021,-1.074
11/1/2021,-1.074
12/1/2021,-1.074
1/1/2022,-0.926
2/1/2022,-0.926
3/1/2022,-0.926
4/1/2022,-0.926
5/1/2022,-0.926
6/1/2022,-0.926
7/1/2022,-0.926
8/1/2022,-0.926
9/1/2022,-0.926
10/1/2022,-0.926
11/1/2022,-0.926
12/1/2022,-0.926
1/1/2023,-0.778
2/1/2023,-0.778
3/1/2023,-0.778
4/1/2023,-0.778
5/1/2023,-0.778
6/1/2023,-0.778
7/1/2023,-0.778
8/1/2023,-0.778
9/1/2023,-0.778
10/1/2023,-0.778
11/1/2023,-0.778
12/1/2023,-0.778
1/1/2024,-0.543
2/1/2024,-0.543
3/1/2024,-0.543
4/1/2024,-0.543
